timestamp,prompt,handler,success,latency_ms,extra_info
2025-06-26T16:13:51.009768,"""Pending DOs in 2024""	",keyword_router,True,1790,{}
2025-06-26T16:14:18.688397,Salesman_123 pending DO summary,keyword_router,True,1659,{}
2025-06-26T16:14:37.787598,man_1091962667 pending DO summary,keyword_router,True,648,{}
2025-06-26T16:14:52.872604,Which customers have open DOs?,keyword_router,True,750,{}
2025-06-26T16:15:03.354859,"List all pending DOs above AED 1,000 ",keyword_router,True,931,{}
2025-06-26T16:19:49.553208,man_1091962667 pending DO summary,keyword_router,True,760,{}
2025-06-26T16:20:21.958361,man_2128340233. pending DO summary,keyword_router,True,575,{}
2025-06-26T16:20:40.594775,cus_0054571443 pending DO summary,keyword_router,True,845,{}
2025-06-26T16:21:13.114744,"""Top 5 salesmen with delivery backlog""	",keyword_router,True,1,{}
2025-06-26T16:21:21.549907,"""Group open DOs by division""	",keyword_router,True,1695,{}
2025-06-26T16:21:29.646637,"""Show pending delivery by customer""	",keyword_router,True,1677,{}
2025-06-26T16:21:41.528598,"""Pending DOs by salesman""	",keyword_router,True,689,{}
2025-06-26T16:21:48.058577,"""How much delivery is pending?""	",keyword_router,True,,{}
2025-06-26T16:21:56.239218,"""What is my total pending DO?""	",keyword_router,True,636,{}
2025-06-26T16:22:15.631563,"""man_0864799156 delivery orders above 20000""	",keyword_router,True,730,{}
2025-06-26T16:22:26.431299,"""Show delivery orders for last 3 months""	",keyword_router,True,1643,{}
2025-06-26T16:22:33.276525,"""This month's pending deliveries""	",keyword_router,True,,{}
2025-06-26T16:22:41.858557,"""Pending DOs over 90 days old""	",keyword_router,True,915,{}
2025-06-26T16:24:34.942732,"""What is my total pending DO?""",keyword_router,True,638,{}
2025-06-26T16:24:34.945998,,keyword_router,True,1,{}
2025-06-26T16:24:39.324354,"""What is my total pending DO?""",keyword_router,True,697,{}
2025-06-26T16:24:47.831662,"""Pending DOs by salesman (top 5)""",keyword_router,True,733,{}
2025-06-26T16:24:47.834081,,keyword_router,True,,{}
2025-06-26T16:24:57.249101,"""Group pending DOs by customer""",keyword_router,True,845,{}
2025-06-26T16:24:57.252016,,keyword_router,True,1,{}
2025-06-26T16:25:02.333744,,keyword_router,True,,{}
2025-06-26T16:25:18.683882,"""Group pending DOs by customer""",keyword_router,True,763,{}
2025-06-26T16:25:18.688446,,keyword_router,True,,{}
2025-06-26T16:25:27.680503,"""Pending DOs over 60 days""",keyword_router,True,888,{}
2025-06-26T16:25:27.682732,,keyword_router,True,,{}
2025-06-26T16:25:27.685037,,keyword_router,True,,{}
2025-06-26T16:25:36.598281,"""Pending delivery orders in Jan 2024""",keyword_router,True,975,{}
2025-06-26T16:25:36.601637,,keyword_router,True,,{}
2025-06-26T16:25:45.202327,"""cus_1073783779 pending DO summary""",keyword_router,True,949,{}
2025-06-26T16:25:45.204886,,keyword_router,True,,{}
2025-06-26T16:25:45.207205,,keyword_router,True,,{}
2025-06-26T16:28:43.756564,pending do in may,keyword_router,True,599,{}
2025-06-26T16:28:48.385475,pending do in may 2024,keyword_router,True,613,{}
2025-06-26T16:30:49.790239,Show pending delivery by customer,keyword_router,True,2044,{}
2025-06-26T16:31:05.779905,Top 5 salesmen with delivery backlog	,keyword_router,True,2,{}
2025-06-26T16:31:19.931133,What is my pending DO to invoice? (early runs)	,keyword_router,True,1668,{}
2025-06-26T16:31:30.236134,What is my pending DO to invoice? ,keyword_router,True,815,{}
2025-06-26T16:31:44.304152,Pending DOs in May 2024	,keyword_router,True,2040,{}
2025-06-26T16:42:23.115147, Who are my top receivables with aging?,keyword_router,True,2302,{}
2025-06-26T16:42:35.211042,Show top 10 receivables with age buckets.,keyword_router,True,1450,{}
2025-06-26T16:42:43.380983,Receivables above 60 days overdue.,keyword_router,True,1479,{}
2025-06-26T16:42:52.919605,Division-wise receivables summary.,keyword_router,True,1152,{}
2025-06-26T16:43:01.520384, Receivables due in next 30 days.,keyword_router,True,1047,{}
2025-06-26T16:43:11.491851,Monthly aging report of receivables,keyword_router,True,1287,{}
2025-06-26T16:43:20.711028, Breakdown of overdue amounts by party.,keyword_router,True,1398,{}
2025-06-26T16:52:30.399777,"""Show receivables summary by customer group.""",keyword_router,True,1849,{}
2025-06-26T16:52:30.404247,,keyword_router,True,1,{}
2025-06-26T16:52:39.222142,ist customers with zero balance,keyword_router,True,566,{}
2025-06-26T16:52:42.885434,List customers with zero balance,keyword_router,True,492,{}
2025-06-26T16:52:48.614635,Highlight receivables with negative balances,quick,True,,{}
2025-06-26T16:52:56.283332,Get total receivables outstanding.,keyword_router,True,713,{}
2025-06-26T16:53:01.611802,Receivables aging trend over last 6 months.,keyword_router,True,684,{}
2025-06-26T16:53:07.319166,Show receivables with upcoming due dates in next 7 days,keyword_router,True,689,{}
2025-06-26T16:53:14.372474,List receivables with disputes or issues.,keyword_router,True,711,{}
2025-06-26T16:53:19.467729,"how average days overdue per customer.""",keyword_router,True,806,{}
2025-06-26T16:53:25.730215,"Show largest single invoice by customer.""",keyword_router,True,616,{}
2025-06-26T16:53:31.026332,"List receivables written off.""",keyword_router,True,680,{}
2025-06-26T16:53:37.202363,"ompare receivables vs collections for last quarter.""",keyword_router,True,639,{}
2025-06-26T16:53:43.825144,"""Show top 5 customers with highest overdue amounts.""",keyword_router,True,643,{}
