doc_type,doc_no,date,original_customer,ac_code,original_division,created_by,created_ts,original_salesman,amount,customer,division,salesman
DO30,3028,2024-10-29,AL JAZAA ELECT & SANITARY MATERIALS TRADE LLC,AR-A0111,Sharjah,ZAINUDHEEN,2024-10-29,RINSHAD M U,675.0,cus_1541186761,div_1742449716,man_0298694519
DO30,3053,2024-11-02,AL NAWAB BUILDING MATERIAL TRADING LLC,AR-A0387,Sharjah,ZAINUDHEEN,2024-11-02,RINSHAD M U,1725.0,cus_0384222843,div_1742449716,man_0298694519
DO30,3064,2024-11-04,AL MANYOOR AGRICULTURAL CO LLC OPC,AR-A0345,Sharjah,ZAINUDHEEN,2024-11-04,RINSHAD M U,640.0,cus_0215328957,div_1742449716,man_0298694519
DO30,3124,2024-11-11,DINAR BLDG.MAT.TR.LLC,AR-D0023,Sharjah,ZAINUDHEEN,2024-11-11,RINSHAD M U,550.0,cus_0648010649,div_1742449716,man_0298694519
DO30,3188,2024-11-19,TAREEQ AL QARAIEN BLDG .MAT TR,AR-T0046,Sharjah,ZAINUDHEEN,2024-11-19,ZAMEER ,470.0,cus_0222170963,div_1742449716,man_1964161347
ODO10,4140,2024-11-23,ELITE AGRO PROJECTS LLC,AR-E0008,HO,SHIMIL,2024-11-23,SHIMIL ,60.0,cus_1182818038,div_2006915470,man_1055588320
ODO10,4151,2024-11-26,EFS FACILITIES MANAGEMENT SERVICES .L.L.C,AR-E0005,HO,SHIMIL,2024-11-26,RIYAS M,370.0,cus_0345774552,div_2006915470,man_2030811350
DO30,3304,2024-12-09,NAJMAT AL QAMAR BLDG. MAT. TRDG. L.L.C.  IND-4,AR-N0003,Sharjah,ZAINUDHEEN,2024-12-09,ZAMEER ,2980.0,cus_0954140832,div_1742449716,man_1964161347
DO30,3312,2024-12-09,OMAN STORE LLC.,AR-O0007,Sharjah,ZAINUDHEEN,2024-12-09,ZAMEER ,2225.0,cus_2030282600,div_1742449716,man_1964161347
DO30,3346,2024-12-11,DINAR BLDG.MAT.TR.LLC,AR-D0023,Sharjah,ZAINUDHEEN,2024-12-11,RINSHAD M U,485.0,cus_0648010649,div_1742449716,man_0298694519
ODO10,4221,2024-12-14,GRANITE CONSTRUCTION COMPANY,AR-G0022,HO,NAVEED,2024-12-14,NEVIN K,865.0,cus_0003525443,div_2006915470,man_0832785071
ODO10,4250,2024-12-25,ALPHA ENGINEERING & CONTRACTING LLC,AR-A0227,HO,NAVEED,2024-12-25,MAHAROOF ,504.0,cus_0943486789,div_2006915470,man_1666262237
DO30,2500032,2025-01-03,DINAR BLDG.MAT.TR.LLC,AR-D0023,Sharjah,ZAINUDHEEN,2025-01-03,RINSHAD M U,515.0,cus_0648010649,div_1742449716,man_0298694519
DO30,2500121,2025-01-13,SHUKRI GENERAL TRADING EST.,AR-S0047,Sharjah,ZAINUDHEEN,2025-01-13,ZAMEER ,675.0,cus_1470245342,div_1742449716,man_1964161347
DO30,2500154,2025-01-15,AL MOSKY BUILDING MATERIALS TRDING,AR-A0474,Sharjah,ZAINUDHEEN,2025-01-17,ZAMEER ,1660.0,cus_1256998540,div_1742449716,man_1964161347
