doc_type,doc_no,date,original_customer,ac_code,original_division,created_by,created_ts,original_salesman,amount,customer,division,salesman
DO20,2500488,2025-03-11,QUICK ACTION TRADING - L.L.C,AR-Q0011,MCJ,RINSHAD TK,2025-03-11,RINSHAD T K,640.0,cus_1044956353,div_0556003793,man_2128340233
DO20,2500489,2025-03-11,QALAT AL KHALEEJ GENERAL CON AND MAINTENANCE,AR-Q0001,MCJ,RINSHAD TK,2025-03-11,RINSHAD T K,2760.0,cus_0171186648,div_0556003793,man_2128340233
DO10,2500177,2025-03-12,GULF ERECTION CO.L.L.C,AR-G0033,HO,FAISAL,2025-03-20,FAISAL,713.0,cus_1500219345,div_2006915470,man_1993412060
DO40,1171,2024-02-20,ENGIE COFELY ENERGY SERVICES LLC,AR-E0021,Branch 2,SHAJAHAN M,2024-02-20,SHAJAHAN ,380.0,cus_1073783779,div_0097926054,man_1937350786
DO20,2500491,2025-03-12,M4 CONTRACTING S.A.R.I- ABU DHABI,AR-M0005,MCJ,RINSHAD TK,2025-03-12,RINSHAD T K,300.0,cus_0481271792,div_0556003793,man_2128340233
OFDO10,2500045,2025-03-12,ABU DHABI PORTS COMPANY,AR-A0019,HO,RIYAS P,2025-03-12,FAROOK,1740.0,cus_1957811793,div_2006915470,man_1091962667
DO10,2500179,2025-03-12,GULF ERECTION CO.L.L.C,AR-G0033,HO,FAISAL,2025-03-20,FAISAL,1370.5,cus_1500219345,div_2006915470,man_1993412060
DO10,2500175,2025-03-12,AL NAHDA NATIONAL SCHOOLS,AR-A0145,HO,FAISAL,2025-03-18,FAISAL,175.0,cus_0645899566,div_2006915470,man_1993412060
DO10,2500169,2025-03-12,HEIRS OF SAEED ABDULLA NASER ALJNEIBI,AR-S0007,HO,FAISAL,2025-03-13,FAISAL,460.0,cus_0406287333,div_2006915470,man_1993412060
DO10,2500170,2025-03-12,HEIRS OF SAEED ABDULLA NASER ALJNEIBI,AR-S0007,HO,FAISAL,2025-03-13,FAISAL,90.0,cus_0406287333,div_2006915470,man_1993412060
ODO10,2500166,2025-03-12,EDEN GARDENS L LC,AR-E0004,HO,SHAMEEM,2025-03-12,SHIMIL ,18182.65,cus_0238589070,div_2006915470,man_1055588320
DO20,2500493,2025-03-12,JUMAA ZAYED KHAMIS ALMENTHERI,AR-J0016,MCJ,SAFEER M,2025-03-12,JAFEER ,356.5,cus_0506160776,div_0556003793,man_1683097300
ODO10,2500167,2025-03-12,AL NASIYA GENERAL CONTRACTING L.L.C. CO,AR-A0149,HO,NAVEED,2025-03-12,NEVIN K,730.0,cus_1520944275,div_2006915470,man_0832785071
ODO10,2500169,2025-03-12,GRANITE CONSTRUCTION COMPANY,AR-G0022,HO,NAVEED,2025-03-12,NEVIN K,1613.0,cus_0003525443,div_2006915470,man_0832785071
DO10,2500171,2025-03-12,AL NAHDA NATIONAL SCHOOLS,AR-A0145,HO,FAISAL,2025-03-17,FAISAL,135.0,cus_0645899566,div_2006915470,man_1993412060
DO10,2500172,2025-03-12,AL NAHDA NATIONAL SCHOOLS,AR-A0145,HO,FAISAL,2025-03-17,FAISAL,125.0,cus_0645899566,div_2006915470,man_1993412060
DO10,2500173,2025-03-12,AL NAHDA NATIONAL SCHOOLS,AR-A0145,HO,FAISAL,2025-03-17,FAISAL,420.0,cus_0645899566,div_2006915470,man_1993412060
