DocType,DocNo,Docdate,Party Code,original_party_name,Location,Stock Code,Stock Description,Unit,Quantity,Rate,Gross Amount,Discount,Net Amount,Supplier Category,Product Division,Category,Sub Category,Brand,Nature of Sales,COO,Group,Created by,Created TS,Posted by,Posted TS,Currency,Currency Rate,Fcy Gross Amount,Fcy Discount,Fcy Net Amount,Party Name
ICPI10,1230.0,2024-12-31,APIC-R0002,RAJAB TRADING COMPANY L L C - BRANCH(MCJ),Musaffah Shop,13481,"REFILL EPOXY ANTARES 7""",NOS,10.0,6.5,65.0,0.0,65.0,,,PAINTING ACCESSORIES,ROLLER REFILL,brand_0551602293,,,No Warranty,SHAMEER,2025-01-18,SHAMEER,2025-01-18,AED,1.0,65.0,0.0,65.0,party_1417468171
ICPI10,1230.0,2024-12-31,APIC-R0002,RAJAB TRADING COMPANY L L C - BRANCH(MCJ),Musaffah Shop,30520,"9"" PAINT ROLLER REFILL ",NOS,10.0,7.0,70.0,0.0,70.0,,,,,brand_0505980144,,,No Warranty,SHAMEER,2025-01-18,SHAMEER,2025-01-18,AED,1.0,70.0,0.0,70.0,party_1417468171
LPI10,5062.0,2024-06-19,AP-C0055,Cosmoplast Industrial Co.L.L.C,Branch 2,15758,"45˚ ELBOW, RR, GREY 160MM",NOS,40.0,17.1,684.0,0.0,684.0,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC 45* ELBOW,brand_0850260632,,,No Warranty,SHAJAHAN.KA,2024-07-10,SHAJAHAN.KA,2024-07-10,AED,1.0,684.0,0.0,684.0,party_0779115970
LPI10,5062.0,2024-06-19,AP-C0055,Cosmoplast Industrial Co.L.L.C,Branch 2,15476,"ELBOW 87º, SS, GREY 110MM",NOS,120.0,6.72,806.4,0.0,806.4,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC 90* ELBOW,brand_0850260632,,,No Warranty,SHAJAHAN.KA,2024-07-10,SHAJAHAN.KA,2024-07-10,AED,1.0,806.4,0.0,806.4,party_0779115970
ICPI20,1016.0,2024-09-09,APIC-R0003,RAJAB TR.CO.LLC ( SHJ.BRANCH ),Multicolor,13479,"REFILL ANTARES 9""",NOS,210.0,5.0,1050.0,0.0,1050.0,,,PAINTING ACCESSORIES,ROLLER REFILL,brand_0551602293,,,No Warranty,SHAMEER,2024-10-25,SHAMEER,2024-10-25,AED,1.0,1050.0,0.0,1050.0,party_0361422916
LPI10,5308.0,2024-07-10,AP-H0061,Hydro Sanitary Ware Trading,Musaffah Shop,15526,56X36MM UPVC DR REDUCER BUSH COSMOPLAST SS GREY,NOS,10.0,0.7,7.0,0.0,7.0,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC REDUCER BUSH,brand_0850260632,,,No Warranty,SHAJAHAN.KA,2024-07-18,SHAJAHAN.KA,2024-07-18,AED,1.0,7.0,0.0,7.0,party_0247892569
LPI10,5308.0,2024-07-10,AP-H0061,Hydro Sanitary Ware Trading,Musaffah Shop,15594,36MM UPVC DR END CAP COSMOPLAST SS GREY,NOS,100.0,0.53,53.0,0.0,53.0,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC END CAP,brand_0850260632,,,No Warranty,SHAJAHAN.KA,2024-07-18,SHAJAHAN.KA,2024-07-18,AED,1.0,53.0,0.0,53.0,party_0247892569
LPI10,1708.0,2024-01-22,AP-B0043,Bin Moosa & Daly Ltd. L.L.C,M9 STORE,15922,"2"" UPVC DR TEE TERRAIN",NOS,50.0,6.19,309.5,0.0,309.5,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC DRAINAGE TEE,brand_0674680850,,,No Warranty,SHAMEER,2024-02-27,SHAMEER,2024-02-27,AED,1.0,309.5,0.0,309.5,party_1230640947
LPI10,1708.0,2024-01-22,AP-B0043,Bin Moosa & Daly Ltd. L.L.C,M9 STORE,15934,"2"" UPVC DR 90* ELBOW TERRAIN",NOS,70.0,5.13,359.1,0.0,359.1,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC DRAINAGE 90* ELBOW,brand_0674680850,,,No Warranty,SHAMEER,2024-02-27,SHAMEER,2024-02-27,AED,1.0,359.1,0.0,359.1,party_1230640947
LPI10,1709.0,2024-01-23,AP-B0043,Bin Moosa & Daly Ltd. L.L.C,M9 STORE,15928,"2"" UPVC DR 45* ELBOW TERRAIN",NOS,150.0,3.6,540.0,0.0,540.0,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC DRAINAGE 45* ELBOW,brand_0674680850,,,No Warranty,SHAMEER,2024-02-27,SHAMEER,2024-02-27,AED,1.0,540.0,0.0,540.0,party_1230640947
LPI10,1710.0,2024-01-29,AP-B0043,Bin Moosa & Daly Ltd. L.L.C,M9 STORE,15942,"11/4"" UPVC DR PIPE 4MTR TERRAIN UK",LTH,18.0,26.76,481.68,0.0,481.68,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC DRAINAGE PIPE,brand_0674680850,,,No Warranty,SHAMEER,2024-02-27,SHAMEER,2024-02-27,AED,1.0,481.68,0.0,481.68,party_1230640947
LPI10,5645.0,2024-07-08,AP-C0055,Cosmoplast Industrial Co.L.L.C,Branch 2,15766,"87˚ ELBOW, RR, GREY 110MM",NOS,136.0,8.74,1188.64,0.0,1188.64,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC 90* ELBOW,brand_0850260632,,,No Warranty,SHAJAHAN.KA,2024-08-03,SHAJAHAN.KA,2024-08-03,AED,1.0,1188.64,0.0,1188.64,party_0779115970
LPI10,5645.0,2024-07-08,AP-C0055,Cosmoplast Industrial Co.L.L.C,Branch 2,15563,"ACCESS PLUG, SS, GREY 110MM",NOS,120.0,4.7,564.0,0.0,564.0,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC ACCESS PLUG,brand_0850260632,,,No Warranty,SHAJAHAN.KA,2024-08-03,SHAJAHAN.KA,2024-08-03,AED,1.0,564.0,0.0,564.0,party_0779115970
LPI10,5646.0,2024-07-08,AP-C0055,Cosmoplast Industrial Co.L.L.C,Branch 2,16549,"FLANGE ADAPTER & RING, GREY 21/2""",NOS,22.0,16.2,356.4,0.0,356.4,LOCAL,,PVC PIPE & FITTINGS,PVC FLANGE ADAPTOR & RING,brand_0850260632,,,No Warranty,SHAJAHAN.KA,2024-08-03,SHAJAHAN.KA,2024-08-03,AED,1.0,356.4,0.0,356.4,party_0779115970
LPI10,5665.0,2024-07-17,AP-C0055,Cosmoplast Industrial Co.L.L.C,Branch 2,15823,"REPAIRE COUPLER, RR, GREY 110MM",NOS,99.0,5.7,564.3,0.0,564.3,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC REPAIRE COUPLER,brand_0850260632,,,No Warranty,SHAJAHAN.KA,2024-08-03,SHAJAHAN.KA,2024-08-03,AED,1.0,564.3,0.0,564.3,party_0779115970
LPI10,1769.0,2024-01-02,AP-B0043,Bin Moosa & Daly Ltd. L.L.C,M9 STORE,15926,"4"" UPVC DR 45* ELBOW TERRAIN",NOS,50.0,11.69,584.5,0.0,584.5,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC DRAINAGE 45* ELBOW,brand_0674680850,,,No Warranty,SHAMEER,2024-02-27,SHAMEER,2024-02-27,AED,1.0,584.5,0.0,584.5,party_1230640947
LPI10,1769.0,2024-01-02,AP-B0043,Bin Moosa & Daly Ltd. L.L.C,M9 STORE,15898,"3"" UPVC DR DOOR ELBOW TERRAIN",NOS,20.0,23.0,460.0,0.0,460.0,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC DRAINAGE DOOR ELBOW,brand_0674680850,,,No Warranty,SHAMEER,2024-02-27,SHAMEER,2024-02-27,AED,1.0,460.0,0.0,460.0,party_1230640947
LPI10,1769.0,2024-01-02,AP-B0043,Bin Moosa & Daly Ltd. L.L.C,M9 STORE,15927,"3"" UPVC DR 45* ELBOW TERRAIN",NOS,50.0,10.26,513.0,0.0,513.0,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC DRAINAGE 45* ELBOW,brand_0674680850,,,No Warranty,SHAMEER,2024-02-27,SHAMEER,2024-02-27,AED,1.0,513.0,0.0,513.0,party_1230640947
LPI10,6627.0,2024-08-07,AP-C0055,Cosmoplast Industrial Co.L.L.C,Musaffah Shop,28735,UPVC PIPE 160MMX6M BSEN1452 PN10 SS GREY,LTH,25.0,144.75,3618.75,0.0,3618.75,LOCAL,,PVC PIPE & FITTINGS,PVC PIPE,brand_0850260632,,,No Warranty,SHAJAHAN.KA,2024-09-04,SHAJAHAN.KA,2024-09-04,AED,1.0,3618.75,0.0,3618.75,party_0779115970
LPI10,6628.0,2024-08-12,AP-C0055,Cosmoplast Industrial Co.L.L.C,Musaffah Shop,14050,25MM PPR 90* ELBOW COSMOPLAST,NOS,1200.0,0.48,576.0,0.0,576.0,LOCAL,,PPR PIPE & FITTINGS,PPR 90* ELBOW,brand_0850260632,,,No Warranty,SHAJAHAN.KA,2024-09-04,SHAJAHAN.KA,2024-09-04,AED,1.0,576.0,0.0,576.0,party_0779115970
LPI10,5930.0,2024-07-10,AP-B0043,Bin Moosa & Daly Ltd. L.L.C,Branch 2,15878,"6"" UPVC DR PIPE TERRAIN ORANGE 6MTR ",LTH,14.0,163.2,2284.8,0.0,2284.8,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC DRAINAGE PIPE,brand_0674680850,,,No Warranty,SHAJAHAN.KA,2024-08-08,SHAJAHAN.KA,2024-08-08,AED,1.0,2284.8,0.0,2284.8,party_1230640947
LPI10,5931.0,2024-07-22,AP-B0043,Bin Moosa & Daly Ltd. L.L.C,Musaffah Shop,15878,"6"" UPVC DR PIPE TERRAIN ORANGE 6MTR ",LTH,13.0,163.2,2121.6,0.0,2121.6,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC DRAINAGE PIPE,brand_0674680850,,,No Warranty,SHAJAHAN.KA,2024-08-08,SHAJAHAN.KA,2024-08-08,AED,1.0,2121.6,0.0,2121.6,party_1230640947
LPI10,6628.0,2024-08-12,AP-C0055,Cosmoplast Industrial Co.L.L.C,Musaffah Shop,14039,25MM PPR 45* ELBOW COSMOPLAST,NOS,1200.0,0.42,504.0,0.0,504.0,LOCAL,,PPR PIPE & FITTINGS,PPR 45* ELBOW,brand_0850260632,,,No Warranty,SHAJAHAN.KA,2024-09-04,SHAJAHAN.KA,2024-09-04,AED,1.0,504.0,0.0,504.0,party_0779115970
LPI10,6628.0,2024-08-12,AP-C0055,Cosmoplast Industrial Co.L.L.C,Musaffah Shop,14015,"PPR MALE SOCKET 25 X 3/4""",NOS,120.0,3.36,403.2,0.0,403.2,LOCAL,,PPR PIPE & FITTINGS,PPR MALE ADAPTOR,brand_0850260632,,,No Warranty,SHAJAHAN.KA,2024-09-04,SHAJAHAN.KA,2024-09-04,AED,1.0,403.2,0.0,403.2,party_0779115970
LPI10,6628.0,2024-08-12,AP-C0055,Cosmoplast Industrial Co.L.L.C,Musaffah Shop,14020,"PPR MALE SOCKET 50 X 11/2""",NOS,48.0,17.16,823.68,0.0,823.68,LOCAL,,PPR PIPE & FITTINGS,PPR MALE ADAPTOR,brand_0850260632,,,No Warranty,SHAJAHAN.KA,2024-09-04,SHAJAHAN.KA,2024-09-04,AED,1.0,823.68,0.0,823.68,party_0779115970
LPI10,2532.0,2024-03-20,AP-P0051,Prakash Trading Co LLC,Musaffah Shop,24842,DUCAB 16MMX1CORE WIRE BLACK,ROLL,1.0,715.0,715.0,0.0,715.0,LOCAL,,WIRE & CABLE,WIRE,brand_0165452624,,,No Warranty,SREEJITH,2024-03-28,SREEJITH,2024-03-28,AED,1.0,715.0,0.0,715.0,party_1647119013
LPI10,2593.0,2024-03-25,AP-P0051,Prakash Trading Co LLC,Musaffah Shop,24823,DUCAB 2.5MMX1CORE WIRE BLUE,ROLL,6.0,103.5,621.0,0.0,621.0,LOCAL,,WIRE & CABLE,WIRE,brand_0165452624,,,No Warranty,SREEJITH,2024-03-28,SREEJITH,2024-03-28,AED,1.0,621.0,0.0,621.0,party_1647119013
LPI10,1017.0,2024-01-15,AP-A0450,Atlas Plastic Factory L.L.C,Musaffah Shop,16611,50MM PVC PIPE CLASS 10 ATLAS-6MTR,LTH,60.0,14.5,870.0,0.0,870.0,LOCAL,,PVC PIPE & FITTINGS,PVC PIPE,brand_0223424371,,,No Warranty,SREEJITH,2024-01-30,SHAMEER,2024-03-09,AED,1.0,870.0,0.0,870.0,party_1032261125
LPI10,8244.0,2024-10-03,AP-B0043,Bin Moosa & Daly Ltd. L.L.C,M9 STORE,15897,"4"" UPVC DR DOOR ELBOW TERRAIN",NOS,10.0,32.69,326.9,0.0,326.9,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC DRAINAGE DOOR ELBOW,brand_0674680850,,,No Warranty,SHAJAHAN.KA,2024-11-07,SHAJAHAN.KA,2024-11-07,AED,1.0,326.9,0.0,326.9,party_1230640947
LPI10,8244.0,2024-10-03,AP-B0043,Bin Moosa & Daly Ltd. L.L.C,M9 STORE,15928,"2"" UPVC DR 45* ELBOW TERRAIN",NOS,80.0,3.69,295.2,0.0,295.2,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC DRAINAGE 45* ELBOW,brand_0674680850,,,No Warranty,SHAJAHAN.KA,2024-11-07,SHAJAHAN.KA,2024-11-07,AED,1.0,295.2,0.0,295.2,party_1230640947
LPI10,8245.0,2024-10-07,AP-B0043,Bin Moosa & Daly Ltd. L.L.C,M9 STORE,15938,"4"" UPVC DR PIPE 4MTR TERRAIN UK",LTH,50.0,65.54,3277.0,0.0,3277.0,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC DRAINAGE PIPE,brand_0674680850,,,No Warranty,SHAJAHAN.KA,2024-11-07,SHAJAHAN.KA,2024-11-07,AED,1.0,3277.0,0.0,3277.0,party_1230640947
LPI10,8245.0,2024-10-07,AP-B0043,Bin Moosa & Daly Ltd. L.L.C,M9 STORE,15932,"4"" UPVC DR 90* ELBOW TERRAIN",NOS,40.0,16.83,673.2,0.0,673.2,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC DRAINAGE 90* ELBOW,brand_0674680850,,,No Warranty,SHAJAHAN.KA,2024-11-07,SHAJAHAN.KA,2024-11-07,AED,1.0,673.2,0.0,673.2,party_1230640947
LPI10,8245.0,2024-10-07,AP-B0043,Bin Moosa & Daly Ltd. L.L.C,M9 STORE,15914,"4"" UPVC DR SOCKET TERRAIN",NOS,50.0,9.64,482.0,0.0,482.0,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC DRAINAGE SOCKET,brand_0674680850,,,No Warranty,SHAJAHAN.KA,2024-11-07,SHAJAHAN.KA,2024-11-07,AED,1.0,482.0,0.0,482.0,party_1230640947
LPI10,8247.0,2024-10-09,AP-B0043,Bin Moosa & Daly Ltd. L.L.C,Musaffah Shop,24096,"4"" UPVC P-TRAP TERRAIN",NOS,2.0,35.45,70.9,0.0,70.9,LOCAL,,WIRING TOOLS,UPVC DR P-TRAP,brand_0674680850,,,No Warranty,SHAJAHAN.KA,2024-11-07,SHAJAHAN.KA,2024-11-07,AED,1.0,70.9,0.0,70.9,party_1230640947
LPI10,1034.0,2024-01-17,AP-A0150,Al Dhafra Electronics Co. Llc,Musaffah Shop,24135,67200# 2X150MM SCREW DRIVER FLAT SUNFLAG,NOS,10.0,19.75,197.5,0.0,197.5,LOCAL,,WIRING TOOLS,SCREW DRIVER,brand_1910473912,,,No Warranty,SREEJITH,2024-01-30,SREEJITH,2024-01-30,AED,1.0,197.5,0.0,197.5,party_1676601860
LPI10,1034.0,2024-01-17,AP-A0150,Al Dhafra Electronics Co. Llc,Musaffah Shop,24130,67200# 6X150MM SCREW DRIVER FLAT SUNFLAG,NOS,6.0,19.75,118.5,0.0,118.5,LOCAL,,WIRING TOOLS,SCREW DRIVER,brand_1910473912,,,No Warranty,SREEJITH,2024-01-30,SREEJITH,2024-01-30,AED,1.0,118.5,0.0,118.5,party_1676601860
LPI10,1045.0,2024-01-29,AP-A0094,Aladeel Sanitary Trading L.L.C,Musaffah Shop,15942,"11/4"" UPVC DR PIPE 4MTR TERRAIN UK",NOS,18.0,29.5,531.0,0.0,531.0,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC DRAINAGE PIPE,brand_0674680850,,,No Warranty,SREEJITH,2024-01-31,SREEJITH,2024-01-31,AED,1.0,531.0,0.0,531.0,party_1166895779
LPI10,1046.0,2024-01-30,AP-A0094,Aladeel Sanitary Trading L.L.C,Musaffah Shop,32206,"4"" UPVC DR 45* ELBOW TERRAIN ORANGE",NOS,12.0,18.5,222.0,0.0,222.0,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC DRAINAGE 45* ELBOW,brand_0674680850,,,No Warranty,SREEJITH,2024-01-31,SREEJITH,2024-01-31,AED,1.0,222.0,0.0,222.0,party_1166895779
LPI10,8252.0,2024-11-07,AP-B0043,Bin Moosa & Daly Ltd. L.L.C,M9 STORE,15882,"3""X2"" UPVC DR REDUCER BUSH TERRAIN",NOS,30.0,7.66,229.8,0.0,229.8,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC DRAINAGE REDUCER BUSH,brand_0674680850,,,No Warranty,SHAJAHAN.KA,2024-11-07,SHAJAHAN.KA,2024-11-07,AED,1.0,229.8,0.0,229.8,party_1230640947
LPI10,8252.0,2024-11-07,AP-B0043,Bin Moosa & Daly Ltd. L.L.C,M9 STORE,15880,"4""X3"" UPVC DR REDUCER BUSH TERRAIN",NOS,60.0,7.86,471.6,0.0,471.6,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC DRAINAGE REDUCER BUSH,brand_0674680850,,,No Warranty,SHAJAHAN.KA,2024-11-07,SHAJAHAN.KA,2024-11-07,AED,1.0,471.6,0.0,471.6,party_1230640947
LPI10,8252.0,2024-11-07,AP-B0043,Bin Moosa & Daly Ltd. L.L.C,M9 STORE,15888,"4""X3""X2"" UPVC FLOOR TRAP TERRAIN",NOS,20.0,35.84,716.8,0.0,716.8,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC FLOOR TRAP,brand_0674680850,,,No Warranty,SHAJAHAN.KA,2024-11-07,SHAJAHAN.KA,2024-11-07,AED,1.0,716.8,0.0,716.8,party_1230640947
LPI10,1089.0,2024-01-08,AP-E0023,Emirates Electrical & Plastic Industries,Musaffah Shop,28938,300 US GALLON WATER TANK 3 LAYER HORIZONTAL POLYTANK,NOS,2.0,495.0,990.0,0.0,990.0,LOCAL,,PLUMBING SOLUTIONS,WATER TANK,brand_0701529905,,,No Warranty,SREEJITH,2024-02-17,SREEJITH,2024-02-17,AED,1.0,990.0,0.0,990.0,party_1086041678
LPI10,8932.0,2024-11-06,AP-B0043,Bin Moosa & Daly Ltd. L.L.C,Musaffah Shop,15926,"4"" UPVC DR 45* ELBOW TERRAIN",NOS,90.0,11.97,1077.3,0.0,1077.3,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC DRAINAGE 45* ELBOW,brand_0674680850,,,No Warranty,SHAJAHAN.KA,2024-12-10,SHAJAHAN.KA,2024-12-10,AED,1.0,1077.3,0.0,1077.3,party_1230640947
LPI10,8933.0,2024-12-06,AP-B0043,Bin Moosa & Daly Ltd. L.L.C,Musaffah Shop,15926,"4"" UPVC DR 45* ELBOW TERRAIN",NOS,80.0,11.97,957.6,0.0,957.6,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC DRAINAGE 45* ELBOW,brand_0674680850,,,No Warranty,SHAJAHAN.KA,2024-12-10,SHAJAHAN.KA,2024-12-10,AED,1.0,957.6,0.0,957.6,party_1230640947
LPI10,8934.0,2024-11-01,AP-B0043,Bin Moosa & Daly Ltd. L.L.C,M9 STORE,15921,"3"" UPVC DR TEE TERRAIN",NOS,20.0,26.67,533.4,0.0,533.4,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC DRAINAGE TEE,brand_0674680850,,,No Warranty,SHAJAHAN.KA,2024-12-10,SHAJAHAN.KA,2024-12-10,AED,1.0,533.4,0.0,533.4,party_1230640947
ICPI10,1073.0,2024-02-22,APIC-R0002,RAJAB TRADING COMPANY L L C - BRANCH(MCJ),Musaffah Shop,13224,NATIONAL ROAD MARKING BLACK ,DRM,2.0,216.5,433.0,0.0,433.0,,,NATIONAL PRODUCTS,,brand_1943329029,,,No Warranty,RIYAS,2024-02-22,RIYAS,2024-02-22,AED,1.0,433.0,0.0,433.0,party_1417468171
ICPI10,1073.0,2024-02-22,APIC-R0002,RAJAB TRADING COMPANY L L C - BRANCH(MCJ),Musaffah Shop,13224,NATIONAL ROAD MARKING YELLOW DRM ,DRM,1.0,216.5,216.5,0.0,216.5,,,NATIONAL PRODUCTS,,brand_1943329029,,,No Warranty,RIYAS,2024-02-22,RIYAS,2024-02-22,AED,1.0,216.5,0.0,216.5,party_1417468171
LPI10,1135.0,2024-01-11,AP-A0378,Anchor Allied Factory Llc,M9 STORE,21830,750ML FOAM SPRAY ASMACO,CTN,10.0,98.0,980.0,0.0,980.0,LOCAL,,FINISHING TOOLS,FOAM SPRAY,brand_2125616628,,,No Warranty,SREEJITH,2024-02-19,SREEJITH,2024-02-19,AED,1.0,980.0,0.0,980.0,party_0621997775
LPI10,1126.0,2024-01-11,AP-A0382,Anwar Al Bashaier Build.Mat.Tr.Co.Llc,Sajjah Store (MUS),23254,250MM ADJUSTABLE WRENCH STANLEY STMT87433-8,NOS,4.0,31.5,126.0,0.0,126.0,LOCAL,,FASTENING TOOLS,ADJUSTABLE WRENCH,brand_1821743422,,,No Warranty,SREEJITH,2024-02-19,SREEJITH,2024-02-19,AED,1.0,126.0,0.0,126.0,party_0694568132
ICPI10,1098.0,2024-02-16,APIC-R0002,RAJAB TRADING COMPANY L L C - BRANCH(MCJ),Musaffah Shop,13151,SYNTHETIC ENAMEL NATIONAL GLN 440,GLN,1.0,55.5,55.5,0.0,55.5,,,NATIONAL PRODUCTS,SYNTHETIC ENAMEL,brand_1943329029,,,No Warranty,SHAMEER,2024-03-09,SHAMEER,2024-03-09,AED,1.0,55.5,0.0,55.5,party_1417468171
ICPI10,1101.0,2024-02-24,APIC-R0002,RAJAB TRADING COMPANY L L C - BRANCH(MCJ),Musaffah Shop,13119,LACQUER THINNER NATIONAL DRM,DRM,1.0,162.5,162.5,0.0,162.5,,,NATIONAL PRODUCTS,THINNER,brand_1943329029,,,No Warranty,SHAMEER,2024-03-09,SHAMEER,2024-03-09,AED,1.0,162.5,0.0,162.5,party_1417468171
LPI10,1132.0,2024-01-12,AP-A0143,Al Damam Hardware Trading Co Llc,Sajjah Store (MUS),32249,"1/2""-4"" GI PIPE THREADING MACHINE TOMAX",NOS,1.0,2550.0,2550.0,0.0,2550.0,LOCAL,,CUTTING TOOLS,GI PIPE THREADING MACHINE,brand_1212900395,,,No Warranty,SREEJITH,2024-02-19,SREEJITH,2024-02-19,AED,1.0,2550.0,0.0,2550.0,party_1805627025
LPI10,1153.0,2024-01-09,AP-A0345,Ali Asger & Brothers Llc,Musaffah Shop,24197,"4.5"" THIN METAL CUTTING DISC DEWALT DT3442-QZ",NOS,300.0,2.3,690.0,0.0,690.0,LOCAL,,CUTTING TOOLS,METAL CUTTING DISC,brand_0588763624,,,No Warranty,SREEJITH,2024-02-19,SREEJITH,2024-02-19,AED,1.0,690.0,0.0,690.0,party_1916192292
LPI10,9221.0,2024-12-24,AP-A0450,Atlas Plastic Factory L.L.C,Musaffah Shop,16615,110MM PVC PIPE CLASS 10 ATLAS-6MTR,LTH,15.0,69.0,1035.0,0.0,1035.0,LOCAL,,PVC PIPE & FITTINGS,PVC PIPE,brand_0223424371,,,No Warranty,SHAJAHAN.KA,2024-12-24,SHAJAHAN.KA,2024-12-24,AED,1.0,1035.0,0.0,1035.0,party_1032261125
ICPI10,1180.0,2024-05-31,APIC-R0002,RAJAB TRADING COMPANY L L C - BRANCH(MCJ),Musaffah Shop,36479,NC MATT NATIONAL LTR,LTR,1.0,60.0,60.0,0.0,60.0,,,NATIONAL PRODUCTS,NC MATT,brand_1943329029,,,No Warranty,SHAMEER,2024-09-01,SHAMEER,2024-09-01,AED,1.0,60.0,0.0,60.0,party_1417468171
ICPI10,1180.0,2024-05-31,APIC-R0002,RAJAB TRADING COMPANY L L C - BRANCH(MCJ),Musaffah Shop,13151,SYNTHETIC ENAMEL NATIONAL GLN,GLN,4.0,56.0,224.0,0.0,224.0,,,NATIONAL PRODUCTS,SYNTHETIC ENAMEL,brand_1943329029,,,No Warranty,SHAMEER,2024-09-01,SHAMEER,2024-09-01,AED,1.0,224.0,0.0,224.0,party_1417468171
ICPI10,1182.0,2024-06-30,APIC-R0002,RAJAB TRADING COMPANY L L C - BRANCH(MCJ),Musaffah Shop,13140,EMULSION MATT NATIONAL DRM WHITE,DRM,2.0,140.0,280.0,0.0,280.0,,,NATIONAL PRODUCTS,EMULSION MATT,brand_1943329029,,,No Warranty,SHAMEER,2024-09-01,SHAMEER,2024-09-01,AED,1.0,280.0,0.0,280.0,party_1417468171
LPI10,1232.0,2024-02-06,AP-M0087,Multicom Enterprises L.L.C.,Oil field,21843,SPRAY PAINT WHITE GALAXY - GALAXY GLOSS GX200 SPRAY PAINT WHITE -400ML ,NOS,48.0,3.75,180.0,0.0,180.0,LOCAL,,FINISHING TOOLS,SPRAY PAINT,brand_0208948366,,,No Warranty,SREEJITH,2024-02-21,SREEJITH,2024-02-21,AED,1.0,180.0,0.0,180.0,party_1369237310
LPI10,1232.0,2024-02-06,AP-M0087,Multicom Enterprises L.L.C.,Oil field,21846,SPRAY PAINT BLACK GALAXY - GALAXY GLOSS GX200 SPRAY PAINT BLACK -400ML ,NOS,48.0,3.75,180.0,0.0,180.0,LOCAL,,FINISHING TOOLS,SPRAY PAINT,brand_0208948366,,,No Warranty,SREEJITH,2024-02-21,SREEJITH,2024-02-21,AED,1.0,180.0,0.0,180.0,party_1369237310
ICPI10,1186.0,2024-07-31,APIC-R0002,RAJAB TRADING COMPANY L L C - BRANCH(MCJ),Musaffah Shop,13146,EGGSHELL EMULSION SILK NATIONAL DRM 800 WHITE,DRM,8.0,190.0,1520.0,0.0,1520.0,,,NATIONAL PRODUCTS,EGGSHELL EMULSION,brand_1943329029,,,No Warranty,SHAMEER,2024-09-01,SHAMEER,2024-09-01,AED,1.0,1520.0,0.0,1520.0,party_1417468171
ICPI10,1186.0,2024-07-31,APIC-R0002,RAJAB TRADING COMPANY L L C - BRANCH(MCJ),Musaffah Shop,13146,EGGSHELL EMULSION SILK NATIONAL DRM 801 OFF WHITE,DRM,5.0,190.0,950.0,0.0,950.0,,,NATIONAL PRODUCTS,EGGSHELL EMULSION,brand_1943329029,,,No Warranty,SHAMEER,2024-09-01,SHAMEER,2024-09-01,AED,1.0,950.0,0.0,950.0,party_1417468171
ICPI10,1186.0,2024-07-31,APIC-R0002,RAJAB TRADING COMPANY L L C - BRANCH(MCJ),Musaffah Shop,36502,MINITEX NATIONAL DRM,DRM,3.0,136.5,409.5,0.0,409.5,,,NATIONAL PRODUCTS,MINITEX,brand_1943329029,,,No Warranty,SHAMEER,2024-09-01,SHAMEER,2024-09-01,AED,1.0,409.5,0.0,409.5,party_1417468171
LPI10,1269.0,2024-01-03,AP-A0188,Al Iejaz Plastic Pipes Ind.L.L.C,Musaffah Shop,16734,110MM PVC PIPE CLASS 6 IEJAZ 6MTR,NOS,25.0,30.0,750.0,0.0,750.0,LOCAL,,PVC PIPE & FITTINGS,PVC PIPE,brand_0311066553,,,No Warranty,SREEJITH,2024-02-21,SREEJITH,2024-02-21,AED,1.0,750.0,0.0,750.0,party_1648320774
