DocType,DocNo,Docdate,Party Code,original_party_name,Location,Stock Code,Stock Description,Unit,Quantity,Rate,Gross Amount,Discount,Net Amount,Supplier Category,Product Division,Category,Sub Category,Brand,Nature of Sales,COO,Group,Created by,Created TS,Posted by,Posted TS,Currency,Currency Rate,Fcy Gross Amount,Fcy Discount,Fcy Net Amount,Party Name
ICPI10,1188.0,2024-07-31,APIC-R0003,RAJAB TR.CO.LLC ( SHJ.BRANCH ),Musaffah Shop,33008,URINAL WALL HUNG OCEANIC-ZT503,NOS,5.0,115.0,575.0,0.0,575.0,,,PLUMBING SOLUTIONS,URINAL,brand_0839938534,,,No Warranty,SHAMEER,2024-09-03,SHAMEER,2024-09-03,AED,1.0,575.0,0.0,575.0,party_0361422916
LPI10,2635.0,2024-03-24,AP-A0299,Al Sanaa Hardware Trading Co.L.L.C,M9 STORE,28593,"6"" PVC 90* ELBOW ATLAS HP",NOS,6.0,72.39,434.34,0.0,434.34,LOCAL,,PVC PIPE & FITTINGS,PVC 90* ELBOW,brand_0223424371,,,No Warranty,SREEJITH,2024-03-29,SREEJITH,2024-03-29,AED,1.0,434.34,0.0,434.34,party_0527390360
LPI10,2635.0,2024-03-24,AP-A0299,Al Sanaa Hardware Trading Co.L.L.C,M9 STORE,16699,90MM PVC 90* ELBOW ATLAS PN16,NOS,44.0,12.02,528.88,0.0,528.88,LOCAL,,PVC PIPE & FITTINGS,PVC 90* ELBOW,brand_0223424371,,,No Warranty,SREEJITH,2024-03-29,SREEJITH,2024-03-29,AED,1.0,528.88,0.0,528.88,party_0527390360
LPI10,2635.0,2024-03-24,AP-A0299,Al Sanaa Hardware Trading Co.L.L.C,M9 STORE,16722,160MM PVC DRAINAGE ACCESS PLUG ATLAS,NOS,25.0,11.95,298.75,0.0,298.75,LOCAL,,PVC PIPE & FITTINGS,PVC DRAINAGE ACEES PLUG,brand_0223424371,,,No Warranty,SREEJITH,2024-03-29,SREEJITH,2024-03-29,AED,1.0,298.75,0.0,298.75,party_0527390360
LPI10,2574.0,2024-03-06,AP-C0055,Cosmoplast Industrial Co.L.L.C,Sajjah Store (MUS),15757,"45˚ ELBOW, RR, GREY 110MM",NOS,100.0,5.7,570.0,0.0,570.0,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC 45* ELBOW,brand_0850260632,,,No Warranty,SHAJAHAN.KA,2024-03-28,SHAJAHAN.KA,2024-03-28,AED,1.0,570.0,0.0,570.0,party_0779115970
LPI10,2574.0,2024-03-06,AP-C0055,Cosmoplast Industrial Co.L.L.C,Sajjah Store (MUS),15798,"45˚ Y BRANCH, RR, GREY 160MM",NOS,60.0,38.0,2280.0,0.0,2280.0,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC Y BRANCH,brand_0850260632,,,No Warranty,SHAJAHAN.KA,2024-03-28,SHAJAHAN.KA,2024-03-28,AED,1.0,2280.0,0.0,2280.0,party_0779115970
ICPI10,1188.0,2024-07-31,APIC-R0003,RAJAB TR.CO.LLC ( SHJ.BRANCH ),Musaffah Shop,18424,EUROPEAN WC OCEANIC P-TRAP 67X39X73CM ZT-443-P,NOS,5.0,150.0,750.0,0.0,750.0,,,PLUMBING SOLUTIONS,EUROPEAN WC,brand_0839938534,,,No Warranty,SHAMEER,2024-09-03,SHAMEER,2024-09-03,AED,1.0,750.0,0.0,750.0,party_0361422916
ICPI10,1189.0,2024-08-31,APIC-R0003,RAJAB TR.CO.LLC ( SHJ.BRANCH ),Musaffah Shop,18511,WASH BASIN MIXER OCEANIC D85445YC,NOS,20.0,155.0,3100.0,0.0,3100.0,,,PLUMBING SOLUTIONS,WASH BASIN MIXER,brand_0839938534,,,No Warranty,SHAMEER,2024-09-03,SHAMEER,2025-01-05,AED,1.0,3100.0,0.0,3100.0,party_0361422916
LPI10,2698.0,2024-03-01,AP-G0031,Golden Source Sanitary Ware Tr. Llc,M9 STORE,28547,56MM UPVC DRAINAGE END CAP L/G ATLAS,NOS,850.0,0.5,425.0,0.0,425.0,LOCAL,,PVC PIPE & FITTINGS,UPVC DR END CAP,brand_0223424371,,,No Warranty,SHAJAHAN.KA,2024-03-30,SHAJAHAN.KA,2024-03-30,AED,1.0,425.0,0.0,425.0,party_0491736869
LPI10,2698.0,2024-03-01,AP-G0031,Golden Source Sanitary Ware Tr. Llc,M9 STORE,28488,75MM UPVC DRAINAGE ACCESS TEE L/G ATLAS,NOS,105.0,9.15,960.75,0.0,960.75,LOCAL,,PVC PIPE & FITTINGS,UPVC DR ACCESS TEE,brand_0223424371,,,No Warranty,SHAJAHAN.KA,2024-03-30,SHAJAHAN.KA,2024-03-30,AED,1.0,960.75,0.0,960.75,party_0491736869
LPI10,2792.0,2024-03-15,AP-G0031,Golden Source Sanitary Ware Tr. Llc,M9 STORE,28524,110X82X56MM UPVC FLOOR TRAP ATLAS,NOS,60.0,13.17,790.2,0.0,790.2,LOCAL,,PVC PIPE & FITTINGS,UPVC FLOOR TRAP,brand_0223424371,,,No Warranty,SHAJAHAN.KA,2024-03-30,SHAJAHAN.KA,2024-03-30,AED,1.0,790.2,0.0,790.2,party_0491736869
