doctype,docno,docdate,party_code,original_party_name,lpo_no,location,original_salesman,gross_amount,discount,net_amount,vat_amount,created_ts,created_by,invoice_mode,area,original_division,division,salesman,party_name
CSI20,1282,2024-01-03,ARC-S1652,SHUROOQ ABU DHABI PROPERTIES,,Multicolor,JAFEER ,345.0,0.0,345.0,17.25,2024-01-03,RISHAD C,CASH,,MCJ,div_0556003793,man_1683097300,party_0410965726
CSI10,1115,2024-01-03,ARC-G0020,GAMZH GENERAL CONTRACTING L LC,,Musaffah Shop,ABBAS ,255.0,0.0,255.0,12.75,2024-01-03,ABBAS,CASH,,HO,div_2006915470,man_1563038311,party_1802477455
CSI10,1116,2024-01-03,ARC-W0022,WALK IN - MUS SHOP,,Musaffah Shop,AKTAR HOSSAIN,860.0,0.0,860.0,43.0,2024-01-03,BILAL,CASH,,HO,div_2006915470,man_0900539661,party_0832930093
CSI10,1117,2024-01-03,ARC-G0134,GOLDEN MASTER TECH,,Musaffah Shop,FAISAL,125.0,0.0,125.0,6.25,2024-01-03,NASSAR,CASH,,HO,div_2006915470,man_1993412060,party_1934336580
CSI20,1283,2024-01-03,ARC-W0021,WALK IN - MCJ,,Multicolor,JAFEER ,596.0,0.0,596.0,29.8,2024-01-03,RISHAD C,CASH,,MCJ,div_0556003793,man_1683097300,party_0984764295
CSI10,1118,2024-01-03,ARC-W0022,WALK IN - MUS SHOP,,Musaffah Shop,NASSAR,52.0,0.0,52.0,2.6,2024-01-03,NASSAR,CASH,,HO,div_2006915470,man_0864799156,party_0832930093
CSI10,1119,2024-01-03,ARC-A1846,AL MARIAH CONSTRUCTION ENGINEERING,,Musaffah Shop,FAISAL,90.0,0.5,89.5,4.47,2024-01-03,NASSAR,CASH,,HO,div_2006915470,man_1993412060,party_2007242182
CSI10,1123,2024-01-03,ARC-W0022,WALK IN - MUS SHOP,,Musaffah Shop,AKTAR HOSSAIN,60.0,0.0,60.0,3.0,2024-01-03,AKTAR,CASH,,HO,div_2006915470,man_0900539661,party_0832930093
CSI20,1284,2024-01-03,ARC-W0021,WALK IN - MCJ,,Multicolor,JAFEER ,65.0,0.0,65.0,3.25,2024-01-03,RISHAD C,CASH,,MCJ,div_0556003793,man_1683097300,party_0984764295
CSI10,1120,2024-01-03,ARC-W0022,WALK IN - MUS SHOP,,Musaffah Shop,ABBAS ,25.0,0.0,25.0,1.25,2024-01-03,ABBAS,CASH,,HO,div_2006915470,man_1563038311,party_0832930093
CSI20,1285,2024-01-03,ARC-W0021,WALK IN - MCJ,,Multicolor,JAFEER ,36.0,0.0,36.0,1.8,2024-01-03,RISHAD C,CASH,,MCJ,div_0556003793,man_1683097300,party_0984764295
CSI10,1121,2024-01-03,ARC-W0022,WALK IN - MUS SHOP,,Musaffah Shop,NASSAR,35.0,0.0,35.0,1.75,2024-01-03,NASSAR,CASH,,HO,div_2006915470,man_0864799156,party_0832930093
CSI20,1286,2024-01-03,ARC-E1596,ETISALAT FACILITY MANAGEMENT,,Multicolor,SHAHID ,350.0,0.0,350.0,17.5,2024-01-03,SAFEER M,CASH,,MCJ,div_0556003793,man_1995826233,party_1292461835
CSI20,1287,2024-01-03,ARC-W0021,WALK IN - MCJ,,Multicolor,RISHAD C,922.0,0.0,922.0,46.1,2024-01-03,RISHAD C,CASH,,MCJ,div_0556003793,man_1841802797,party_0984764295
