original_party_name,party_code,doc_type,doc_no,doc_date,due_date,od_days,age_days,days_0_30,days_31_60,days_61_90,days_91_120,days_121_150,days_151_180,days_181_210,above_210,unallocated,balance,pdcamount,division,party_name,mask_division
Asia Paint Exhibition Building Material L.L.C.(AP-A0438),AP-A0438,LPI20,2500549,2025-03-12,2025-03-27,1.0,16,1704.15,,,,,,,,,1704.15,,div_0556003793,party_1677101084,div_2058489418
Jotun Abu Dhabi L.L.C.(AP-J0016),AP-J0016,LPI20,2500550,2025-02-06,2025-04-07,-10.0,50,,7973.6,,,,,,,,7973.6,,div_0556003793,party_0309653914,div_2058489418
Jotun Abu Dhabi L.L.C.(AP-J0016),AP-J0016,LPI20,2500551,2025-02-06,2025-04-07,-10.0,50,,28560.0,,,,,,,,28560.0,,div_0556003793,party_0309653914,div_2058489418
Jotun Abu Dhabi L.L.C.(AP-J0016),AP-J0016,LPI20,2500552,2025-02-04,2025-04-05,-8.0,52,,15556.28,,,,,,,,15556.28,,div_0556003793,party_0309653914,div_2058489418
Jotun Abu Dhabi L.L.C.(AP-J0016),AP-J0016,LPI20,2500553,2025-02-04,2025-04-05,-8.0,52,,25820.03,,,,,,,,25820.03,,div_0556003793,party_0309653914,div_2058489418
Jotun Abu Dhabi L.L.C.(AP-J0016),AP-J0016,LPI20,2500554,2025-02-03,2025-04-04,-7.0,53,,43139.88,,,,,,,,43139.88,,div_0556003793,party_0309653914,div_2058489418
Jotun Abu Dhabi L.L.C.(AP-J0016),AP-J0016,LPI20,2500555,2025-02-01,2025-04-02,-5.0,55,,56629.14,,,,,,,,56629.14,,div_0556003793,party_0309653914,div_2058489418
Jotun Abu Dhabi L.L.C.(AP-J0016),AP-J0016,LPI20,2500556,2025-02-01,2025-04-02,-5.0,55,,38332.88,,,,,,,,38332.88,,div_0556003793,party_0309653914,div_2058489418
Jotun Abu Dhabi L.L.C.(AP-J0016),AP-J0016,LPI20,2500558,2025-02-26,2025-04-27,-30.0,30,11718.0,,,,,,,,,11718.0,,div_0556003793,party_0309653914,div_2058489418
Jotun Abu Dhabi L.L.C.(AP-J0016),AP-J0016,LPI20,2500559,2025-02-21,2025-04-22,-25.0,35,6300.0,,,,,,,,,6300.0,,div_0556003793,party_0309653914,div_2058489418
